DepMap_ID,stripped_cell_line_name,CCLE_Name,Alias,COSMICID,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,WTSI_Master_Cell_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype
ACH-000475,HUH1,HUH1_LIVER,,1298146,Male,HSRRB,2,-5.58088768,Adherent,DMEM + 10% FBS,96.1,CVCL_2956,liver,Primary,Liver Cancer,"Hepatocellular Carcinoma, HBs-antigen carrier",53,SIDM00586,1855,,liver,hepatocellular_carcinoma,hbs_antigen_carrier,
ACH-002316,WIL2NS,WIL2NS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331049,Unknown,Sanger,,,,,,CVCL_2761,spleen,,Non-Cancerous,Hereditary Spherocytosis,,SIDM01102,1470,,engineered,,,
ACH-001685,UHO1,UHO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,Male,DSMZ,1,-3.252044475,Suspension,"IMDM:RPMI 1640 (at 4:1) + 20% FBS, 2 mM L-glutamine",80,,pleural_effusion,Primary,Lymphoma,Hodgkins,23,,,,lymphocyte,hodgkin_lymphoma,,
ACH-002245,HS445,HS445_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1322218,Female,ATCC,,,,,,CVCL_0761,lymph_node,Primary,Lymphoma,Hodgkins,56,SIDM00668,1243,,lymphocyte,hodgkin_lymphoma,,
ACH-002038,HSKTC,HSKTC_OVARY,,,Female,RIKEN,,,,,,,ovary,Primary,Ovarian Cancer,Krukenberg Tumor,46,,,,ovary,krukenberg_tumor,,
ACH-000145,SKLMS1,SKLMS1_SOFT_TISSUE,,909720,Female,ATCC,,,,,,CVCL_0628,soft_tissue,Primary,Sarcoma,Leiomyosarcoma,43,SIDM01109,1641,,soft_tissue,leiomyosarcoma,,
ACH-000505,RKN,RKN_SOFT_TISSUE,,1298539,Female,HSRRB,2,-5.017837643,,F12 + 10% FBS,82.2,CVCL_3156,ovary,Primary,Sarcoma,Leiomyosarcoma,45,SIDM00353,1471,,soft_tissue,leiomyosarcoma,,
ACH-000939,SKUT1,SKUT1_SOFT_TISSUE,,909732,Female,ATCC,2,-3.319890844,Adherent,EMEM + 10% FBS,49.6,CVCL_0533,endometrium,Primary,Sarcoma,Leiomyosarcoma,75,SIDM01113,725,,soft_tissue,leiomyosarcoma,,
ACH-000131,HS229T,HS229T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0698,fibroblast,Primary,Fibroblast,Lung,65,,,,fibroblast,fibroblast_lung,,
ACH-000531,RS5,RS5_FIBROBLAST,,,Male,DSMZ,,,,,,CVCL_2182,fibroblast,,Fibroblast,Lung,78,,,,fibroblast,fibroblast_lung,,
ACH-000539,HS618T,HS618T_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_0827,fibroblast,Primary,Fibroblast,Lung,60,,,,fibroblast,fibroblast_lung,,
ACH-000742,DM3,DM3_FIBROBLAST,,,Male,DSMZ,,,,,,CVCL_2019,fibroblast,,Fibroblast,Lung,62,,,,fibroblast,fibroblast_lung,,
ACH-000797,HLFA,HLFA_FIBROBLAST,,,Female,ATCC,,,,,,CVCL_2255,fibroblast,Primary,Fibroblast,Lung,54,,,,fibroblast,fibroblast_lung,,
ACH-001207,TIG3TD,TIG3TD_FIBROBLAST,,,Unknown,Academic lab,,,,,,CVCL_V617,fibroblast,,Fibroblast,Lung,,,,,fibroblast,fibroblast_lung,,
ACH-001680,U698M,U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909777,Male,DSMZ,,,,,,CVCL_0017,upper_aerodigestive_tract,Metastasis,Lymphoma,Lymphoblastic Lymphoma,7,SIDM00424,548,,lymphocyte,non_hodgkin_lymphoma,lymphoblastic_lymphoma,
ACH-000063,HS616T,HS616T_FIBROBLAST,,,Male,,,,,,,CVCL_0825,fibroblast,,Fibroblast,Lymphoma,16,,,,fibroblast,fibroblast_lymphocyte,,
ACH-000125,TO175T,TO175T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_3806,lymph_node,Metastasis,Fibroblast,Lymphoma,29,,,,fibroblast,fibroblast_lymphocyte,,
ACH-000165,HS751T,HS751T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0891,fibroblast,,Fibroblast,Lymphoma,,,,,fibroblast,fibroblast_lymphocyte,,
ACH-001093,HS604T,HS604T_FIBROBLAST,,,Male,ATCC,,,,,,CVCL_0816,lymph_node,,Fibroblast,Lymphoma,21,,,,fibroblast,fibroblast_lymphocyte,,
ACH-002271,MFHINO,MFHINO_SOFT_TISSUE,,925343,Unknown,Sanger,,,,,,CVCL_1407,soft_tissue,,Sarcoma,Malignant Fibrous Histiocytoma,,SIDM00299,2069,,soft_tissue,malignant_fibrous_histiocytoma,,
ACH-000407,SNU685,SNU685_ENDOMETRIUM,,,Female,KCLB,2,-4.175125052,,RPMI + 10% FBS,84.1,CVCL_5083,endometrium,Primary,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),70,SIDM00165,,,uterus,MMMT,,
ACH-002046,HTMMT,HTMMT_ENDOMETRIUM,,,Female,RIKEN,2,-5.006393998,,,,,endometrium,Primary,Endometrial/Uterine Cancer,Malignant Mixed Mullerian Tumor (MMMT),66,,,,uterus,MMMT,,
ACH-000096,G401,G401_SOFT_TISSUE,,907299,Male,ATCC,2,-2.405308547,Adherent,McCoy's 5A + 10% FBS,38,CVCL_0270,kidney,Primary,Rhabdoid,Malignant Rhabdoid Tumor,0.25,SIDM00856,962,,kidney,malignant_rhabdoid_tumor,,
ACH-000172,TM87,TM87_SOFT_TISSUE,TM87,,Unknown,Academic lab,2,-2.131249796,not found,not found,30.3,CVCL_8001,pleural_effusion,Metastasis,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-000201,A204,A204_SOFT_TISSUE,,910784,Female,ATCC,,,,,,CVCL_1058,soft_tissue,Primary,Rhabdoid,Malignant Rhabdoid Tumor,1,SIDM00798,349,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-000533,NCIH2004RT,NCIH2004RT_SOFT_TISSUE,,,Unknown,Academic lab,1,-3.329053736,not found,not found,39.9,CVCL_WS70,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-000597,TTC709,TTC709_SOFT_TISSUE,,,Unknown,Academic lab,,,,,,CVCL_8007,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-000607,KYM1,KYM1_SOFT_TISSUE,,1240166,Male,HSRRB,2,-3.14431566,Mixed adherent and suspension,DMEM:F12 (1:1) + 10% FBS,47.3,CVCL_3007,soft_tissue,Primary,Rhabdoid,Malignant Rhabdoid Tumor,1,SIDM00552,1344,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001059,DL,DL_SOFT_TISSUE,,,Unknown,Academic lab,,,,,,CVCL_U760,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001099,KD,KD_SOFT_TISSUE,,,Unknown,Academic lab,2,-3.039604687,not found,not found,39.5,CVCL_U757,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001109,KPMRTRY,KPMRTRY_SOFT_TISSUE,,,Male,Academic lab,,,,,,CVCL_7051,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001128,MON,MON_SOFT_TISSUE,,,Male,Academic lab,,,,,,CVCL_M846,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001200,STM9101,STM9101_SOFT_TISSUE,,,Male,Academic lab,,,,,,CVCL_8000,lung,Metastasis,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001210,TTC1240,TTC1240_SOFT_TISSUE,,,Female,Academic lab,,,,,,CVCL_8002,central_nervous_system,Metastasis,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001211,TTC549,TTC549_SOFT_TISSUE,,,Female,Academic lab,2,-3.023630757,not found,not found,70.8,CVCL_8005,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001212,TTC642,TTC642_SOFT_TISSUE,,,Female,Academic lab,2,-2.167466808,not found,not found,43.8,CVCL_8006,soft_tissue,,Rhabdoid,Malignant Rhabdoid Tumor,,,,,soft_tissue,malignant_rhabdoid_tumor,,
ACH-001532,JMURTK2,JMURTK2_SOFT_TISSUE,,,Female,JCRB,2,-3.720244124,Adherent,DMEM + 10% FBS,69.5,CVCL_4W58,central_nervous_system,Metastasis,Rhabdoid,Malignant Rhabdoid Tumor,1,,,,kidney,malignant_rhabdoid_tumor,,
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,D283,906834,Male,ATCC,3,-3.772760017,Adherent,EMEM + 10% FBS,69.3,CVCL_1155,abdomen,Metastasis,Brain Cancer,Medulloblastoma,6,SIDM00888,1184,,central_nervous_system,medulloblastoma,med_group_3,MYC_exp
ACH-000095,D341,D341MED_CENTRAL_NERVOUS_SYSTEM,D341MED,,Male,ATCC,3,-2.739830035,,DMEM:F12 (1:1) + 15% FBS,95.6,CVCL_0018,central_nervous_system,,Brain Cancer,Medulloblastoma,3.5,,,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp
ACH-000211,DAOY,DAOY_CENTRAL_NERVOUS_SYSTEM,,906833,Male,ATCC,2,-4.685429432,Adherent,EMEM + 10% FBS,91.6,CVCL_1167,central_nervous_system,Primary,Brain Cancer,Medulloblastoma,4,SIDM00887,2150,,central_nervous_system,medulloblastoma,,non_MYC
ACH-000776,ONS76,ONS76_CENTRAL_NERVOUS_SYSTEM,,909248,Female,HSRRB,2,-2.743128252,,RPMI + 10% FBS,93.5,CVCL_1624,central_nervous_system,Primary,Brain Cancer,Medulloblastoma,2,SIDM00567,67,,central_nervous_system,medulloblastoma,,non_MYC
ACH-001052,D384,D384_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,,,,,,CVCL_1157,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp
ACH-001053,D425,D425_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,3,-2.852908169,not found,not found,78.2,CVCL_1275,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp
ACH-001054,D458,D458_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,3,-3.708273037,not found,not found,73.6,CVCL_1161,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,med_group_3,MYC_amp
ACH-001055,D556,D556_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,,,,,,CVCL_1165,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,,
ACH-001172,R256,R256_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-5.383533282,not found,not found,79,,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,,
ACH-001173,R262,R262_CENTRAL_NERVOUS_SYSTEM,,,Unknown,Academic lab,2,-4.926996003,not found,not found,93,CVCL_VU83,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,,
ACH-001201,SUMB002,SUMB002_CENTRAL_NERVOUS_SYSTEM,SUMB002,,Unknown,Academic lab,,,,,,CVCL_VU79,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,,
ACH-001232,UW228,UW228_CENTRAL_NERVOUS_SYSTEM,,,Female,Academic lab,1,-4.502279252,not found,not found,87.7,CVCL_8585,central_nervous_system,,Brain Cancer,Medulloblastoma,,,,,central_nervous_system,medulloblastoma,,non_MYC
ACH-000008,A101D,A101D_SKIN,,910921,Male,ATCC,,,,,,CVCL_1057,skin,,Skin Cancer,Melanoma,56,SIDM00801,1806,,skin,melanoma,,
ACH-000014,HS294T,HS294T_SKIN,"A101D, Hs 294.T",,Male,ATCC,2,-3.484986488,Adherent,DMEM + 10% FBS,84.9,CVCL_0331,lymph_node,Metastasis,Skin Cancer,Melanoma,56,SIDM00800,,,skin,melanoma,,
ACH-000219,A375,A375_SKIN,,906793,Female,ATCC,2,-4.14102385,Adherent,DMEM + 10% FBS,90.4,CVCL_0132,skin,Primary,Skin Cancer,Melanoma,54,SIDM00795,953,,skin,melanoma,,
ACH-000274,HS852T,HS852T_SKIN,,,Male,ATCC,2,-3.329738299,,DMEM + 10% FBS,93.9,CVCL_0950,skin,,Skin Cancer,Melanoma,53,,,,skin,melanoma,,
ACH-000304,WM115,WM115_SKIN,,909784,Female,ATCC,2,-2.368705248,Adherent,EMEM + 10% FBS,48.3,CVCL_0040,skin,Metastasis,Skin Cancer,Melanoma,59,SIDM01000,1000,,skin,melanoma,,
ACH-000322,HT144,HT144_SKIN,,907067,Male,ATCC,2,-3.27156035,Adherent,McCoy's 5A + 10% FBS,49.5,CVCL_0318,skin,Metastasis,Skin Cancer,Melanoma,29,SIDM00695,1193,,skin,melanoma,,
ACH-000348,RPMI7951,RPMI7951_SKIN,,910903,Female,ATCC,2,-6.13559635,Adherent,RPMI + 10% FBS,81.2,CVCL_1666,lymph_node,Metastasis,Skin Cancer,Melanoma,18,SIDM01087,1909,,skin,melanoma,,
ACH-000401,COLO800,COLO800_SKIN,,906813,Male,ATCC,2,-3.562617279,,RPMI + 10% FBS,76.8,CVCL_1135,skin,Metastasis,Skin Cancer,Melanoma,14,SIDM00515,21,,skin,melanoma,,
ACH-000404,K029AX,K029AX_SKIN,,,Unknown,Academic lab,1,-2.861784584,,RPMI + 10% FBS,44.8,CVCL_8784,skin,Primary,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000423,SKMEL3,SKMEL3_SKIN,,909724,Female,ATCC,,,,,,CVCL_0550,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01105,1572,,skin,melanoma,,
ACH-000425,UACC62,UACC62_SKIN,,905976,Unknown,NCI/DCTD,2,-4.470166727,,RPMI + 10% FBS,73.1,CVCL_1780,skin,,Skin Cancer,Melanoma,,SIDM00107,8,,skin,melanoma,,
ACH-000441,SH4,SH4_SKIN,,909713,Female,ATCC,2,-4.117426548,Mixed adherent and suspension,DMEM + 10% FBS,47.4,CVCL_1692,pleural_effusion,Metastasis,Skin Cancer,Melanoma,60,SIDM01079,1179,,skin,melanoma,,
ACH-000450,MELHO,MELHO_SKIN,,908124,Female,DSMZ,2,-3.003710579,Adherent,RPMI + 10% FBS,58.6,CVCL_1402,skin,Primary,Skin Cancer,Melanoma,,SIDM00337,2109,,skin,melanoma,,
ACH-000458,CJM,CJM_SKIN,,,Unknown,RIKEN,2,-3.756952918,,F12 + 10% FBS,89.3,CVCL_U797,skin,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000465,SKMEL1,SKMEL1_SKIN,,909723,Male,ATCC,,,,,,CVCL_0068,haematopoietic_and_lymphoid_tissue,Metastasis,Skin Cancer,Melanoma,29,SIDM01107,42,,skin,melanoma,,
ACH-000477,MALME3M,MALME3M_SKIN,,,Male,ATCC,2,-3.533078118,Mixed adherent and suspension,RPMI + 10% FBS,46.6,CVCL_1438,lung,Metastasis,Skin Cancer,Melanoma,43,SIDM00011,,,skin,melanoma,,
ACH-000550,IGR39,IGR39_SKIN,,,Male,DSMZ,2,-4.453872456,Adherent,DMEM + 15% FBS,71.1,CVCL_2076,skin,Primary,Skin Cancer,Melanoma,26,SIDM01065,,,skin,melanoma,,
ACH-000572,G361,G361_SKIN,,906865,Male,ATCC,,,,,,CVCL_1220,skin,Primary,Skin Cancer,Melanoma,31,SIDM00857,1173,,skin,melanoma,,
ACH-000579,UACC257,UACC257_SKIN,,905977,Unknown,NCI/DCTD,1,-1.373476977,,RPMI + 10% FBS,81.3,CVCL_1779,skin,Primary,Skin Cancer,Melanoma,,SIDM00108,14,,skin,melanoma,,
ACH-000582,COLO741,COLO741_SKIN,,,Female,ECACC,,,,,,CVCL_1133,skin,Metastasis,Skin Cancer,Melanoma,69,,,,skin,melanoma,,
ACH-000614,RVH421,RVH421_SKIN,,909706,Male,DSMZ,2,-3.149393402,Adherent,RPMI + 10% FBS,51.8,CVCL_1672,central_nervous_system,Metastasis,Skin Cancer,Melanoma,28,SIDM00401,1274,,skin,melanoma,,
ACH-000615,SKMEL28,SKMEL28_SKIN,,905954,Male,ATCC,,,,,,CVCL_0526,skin,,Skin Cancer,Melanoma,51,SIDM00081,1499,,skin,melanoma,,
ACH-000632,HS944T,HS944T_SKIN,,,Male,ATCC,2,-4.882254849,Adherent,DMEM + 10% FBS,88.7,CVCL_1040,skin,Metastasis,Skin Cancer,Melanoma,51,SIDM00063,,,skin,melanoma,,
ACH-000640,SKMEL31,SKMEL31_SKIN,,909727,Female,ATCC,,,,,,CVCL_0600,skin,Primary,Skin Cancer,Melanoma,,SIDM01104,153,,skin,melanoma,,
ACH-000644,COLO829,COLO829_SKIN,,687448,Male,ATCC,,,,,,CVCL_1137,skin,Primary,Skin Cancer,Melanoma,45,SIDM00909,430,,skin,melanoma,,
ACH-000650,IGR37,IGR37_SKIN,,1240153,Male,DSMZ,,,,,,CVCL_2075,lymph_node,Metastasis,Skin Cancer,Melanoma,26,SIDM01066,1535,,skin,melanoma,,
ACH-000661,WM1799,WM1799_SKIN,,,Male,WISTAR,2,-4.565563689,Adherent,RPMI + 10% FBS,69.2,CVCL_A341,skin,,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000730,SKMEL5,SKMEL5_SKIN,,905956,Female,ATCC,,,,,,CVCL_0527,lymph_node,Metastasis,Skin Cancer,Melanoma,24,SIDM00080,1491,,skin,melanoma,,
ACH-000750,LOXIMVI,LOXIMVI_SKIN,,905974,Male,NCI/DCTD,0,-0.300037826,,RPMI + 10% FBS,59.2,CVCL_1381,lymph_node,Metastasis,Skin Cancer,Melanoma,58,SIDM00149,401,,skin,melanoma,,
ACH-000765,WM983B,WM983B_SKIN,,,Male,Academic lab,2,-4.029811325,,RPMI + 10% FBS,86.9,CVCL_6809,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000788,A2058,A2058_SKIN,,906792,Male,ATCC,2,-5.190887114,Adherent,DMEM + 10% FBS,,CVCL_1059,lymph_node,Metastasis,Skin Cancer,Melanoma,43,SIDM00797,652,,skin,melanoma,,
ACH-000801,HS936T,HS936T_SKIN,,,Male,ATCC,2,-3.679524078,Adherent,DMEM + 10% FBS,85,CVCL_1033,skin,,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000805,COLO679,COLO679_SKIN,,906818,Female,DSMZ,2,-3.093260935,Adherent,RPMI + 10% FBS,74.1,CVCL_1130,skin,Metastasis,Skin Cancer,Melanoma,47,SIDM00284,2049,,skin,melanoma,,
ACH-000810,SKMEL30,SKMEL30_SKIN,,909726,Male,DSMZ,1,-2.650973211,Adherent,RPMI + 10% FBS,69.7,CVCL_0039,skin,Metastasis,Skin Cancer,Melanoma,67,SIDM00392,1789,,skin,melanoma,,
ACH-000812,COLO783,COLO783_SKIN,,1240125,Female,DSMZ,,,,,,CVCL_1997,lymph_node,Metastasis,Skin Cancer,Melanoma,48,SIDM00955,857,,skin,melanoma,,
ACH-000814,HS939T,HS939T_SKIN,,1298144,Female,ATCC,2,-2.399096234,Adherent,DMEM + 10% FBS,61.9,CVCL_1036,skin,,Skin Cancer,Melanoma,24,SIDM00663,1261,,skin,melanoma,,
ACH-000822,SKMEL24,SKMEL24_SKIN,,909725,Male,ATCC,2,-5.213011145,Adherent,EMEM + 10% FBS,79.1,CVCL_0599,lymph_node,Metastasis,Skin Cancer,Melanoma,67,SIDM01106,945,,skin,melanoma,,
ACH-000827,WM793,WM793_SKIN,,1299081,Male,WISTAR,2,-4.516637583,Adherent,RPMI + 10% FBS,55,CVCL_8787,skin,,Skin Cancer,Melanoma,,SIDM00973,114,,skin,melanoma,,
ACH-000881,MELJUSO,MELJUSO_SKIN,,908125,Female,DSMZ,2,-3.905928753,Adherent,RPMI + 10% FBS,80.2,CVCL_1403,skin,Primary,Skin Cancer,Melanoma,58,SIDM00336,626,,skin,melanoma,,
ACH-000882,IGR1,IGR1_SKIN,,907169,Male,DSMZ,2,-4.926037137,Adherent,DMEM + 10% FBS,91.4,CVCL_1303,lymph_node,Metastasis,Skin Cancer,Melanoma,42,SIDM01060,1534,,skin,melanoma,,
ACH-000899,WM88,WM88_SKIN,,,Male,Academic lab,1,-2.749444624,Adherent,RPMI + 10% FBS,47.9,CVCL_6805,skin,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-000915,IPC298,IPC298_SKIN,,907171,Female,DSMZ,1,-5.801301298,Adherent,RPMI + 10% FBS,94.3,CVCL_1307,skin,Primary,Skin Cancer,Melanoma,64,SIDM01059,77,,skin,melanoma,,
ACH-000931,HMCB,HMCB_SKIN,CHL-1,,Female,ATCC,,,,,,CVCL_3317,skin,Primary,Skin Cancer,Melanoma,,SIDM00914,,,skin,melanoma,,
ACH-000968,COLO792,COLO792_SKIN,,906814,Male,ECACC,2,-3.927769548,Adherent,RPMI + 10% FBS + 2mM Glutamine,63.2,CVCL_1134,central_nervous_system,Metastasis,Skin Cancer,Melanoma,62,SIDM00140,1467,,skin,melanoma,,
ACH-000987,MEWO,MEWO_SKIN,,908128,Male,ATCC,,,,,,CVCL_0445,lymph_node,Metastasis,Skin Cancer,Melanoma,78,SIDM00545,102,,skin,melanoma,,
ACH-001002,451LU,451LU_SKIN,,1287706,Male,,,,,,,CVCL_6357,lymph_node,Metastasis,Skin Cancer,Melanoma,,SIDM01240,577,,skin,melanoma,,
ACH-001024,CHL1,CHL1_SKIN,HMCB,910853,Female,ATCC,,,,,,CVCL_1122,pleural_effusion,Metastasis,Skin Cancer,Melanoma,,SIDM01228,739,,skin,melanoma,,
ACH-001044,COLO818,COLO818_SKIN,,,Male,DSMZ,,,,,,CVCL_1998,skin,Metastasis,Skin Cancer,Melanoma,,SIDM01153,,,skin,melanoma,,
ACH-001045,COLO849,COLO849_SKIN,,,Unknown,DSMZ,,,,,,CVCL_2002,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001072,GRM,GRM_SKIN,PSN1,,Male,,,,,,,CVCL_2451,skin,,Skin Cancer,Melanoma,36,SIDM00468,,,skin,melanoma,,
ACH-001190,SKMEL2,SKMEL2_SKIN,,905955,Male,ATCC,2,-3.787826775,Adherent,EMEM + 10% FBS,73.9,CVCL_0069,skin,Metastasis,Skin Cancer,Melanoma,60,SIDM00082,1191,,skin,melanoma,,
ACH-001239,WM2664,WM2664_SKIN,,,Female,ATCC,2,-4.2613783,Adherent,DMEM + 10% FBS,71.5,CVCL_2765,skin,Metastasis,Skin Cancer,Melanoma,58,SIDM00979,,,skin,melanoma,,
ACH-001339,COLO794,COLO794_SKIN,,,Male,Sigma-Aldrich,,,,,,CVCL_2408,skin,Primary,Skin Cancer,Melanoma,14,SIDM00514,,,skin,melanoma,,
ACH-001522,HMY1,HMY1_SKIN,,,Male,JCRB,2,-3.6996349,Adherent,DMEM + 10% FBS,85.5,CVCL_2950,lymph_node,Metastasis,Skin Cancer,Melanoma,62,,,,skin,melanoma,,
ACH-001566,MM370,MM370_SKIN,,,Male,Sigma-Aldrich,1,-4.182267044,Adherent,RPMI 1640 + 10% FBS (with 2 mM L-Glutamine + 25 mM HEPES),84.2,CVCL_2605,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001567,MM383,MM383_SKIN,,,Male,Sigma-Aldrich,2,-4.009685311,Adherent,RPMI 1640 (with 2 mM L-Glutamine + 25 mM HEPES) + 10% FBS,87.4,CVCL_2606,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001568,MM386,MM386_SKIN,,,Male,Sigma-Aldrich,2,-4.637695185,Adherent,RPMI 1640 + 10% FBS (with 2 mM L-Glutamine + 25 mM HEPES),89.5,CVCL_2607,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001569,MM415,MM415_SKIN,,,Male,Sigma-Aldrich,,,,,,CVCL_2608,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001570,MM426,MM426_SKIN,,,Male,Sigma-Aldrich,2,-4.097916348,Adherent,RPMI 1640 + 10% FBS (with 2 mM L-Glutamine + 25 mM HEPES),55.5,CVCL_2609,lymph_node,Metastasis,Skin Cancer,Melanoma,,,,,skin,melanoma,,
ACH-001645,SEKI,SEKI_SKIN,,,Female,JCRB,2,-3.041860366,Suspension,RPMI 1640 + 20% FBS,72.5,CVCL_3162,skin,Primary,Skin Cancer,Melanoma,28,,,,skin,melanoma,,
ACH-001704,VMRCMELG,VMRCMELG_SKIN,,930301,Male,JCRB,,,,,,CVCL_1789,Colon,Primary,Skin Cancer,Melanoma,,SIDM00319,158,,skin,melanoma,,
ACH-002001,A375SKINCJ1,A375_SKIN_CJ1_RESISTANT,A375 RMR,,Unknown,Academic lab,2,-4.006453391,Adherent,RPMI 1640 + 10% FBS + 1% P/S,80.5,,skin,,Skin Cancer,Melanoma,,,,Drug resistance: Dabrafenib and Trametinib,skin,melanoma,,
ACH-002002,A375SKINCJ2,A375_SKIN_CJ2_RESISTANT,A375 ER-2,,Unknown,Academic lab,2,-4.238158987,Adherent,RPMI 1640 + 10% FBS + 1% P/S,89.9,,skin,,Skin Cancer,Melanoma,,,,Drug resistance: SCH772984,skin,melanoma,,
ACH-002003,A375SKINCJ3,A375_SKIN_CJ3_RESISTANT,A375 RMR SCH 0.25,,Unknown,Academic lab,2,-3.154694391,Adherent,RPMI 1640 + 10% FBS + 1% P/S,92.4,,skin,,Skin Cancer,Melanoma,,,,Drug resistance: Dabrafenib and Trametinib,skin,melanoma,,
ACH-002004,UACC62SKINCJ1,UACC62_SKIN_CJ1_RESISTANT,UACC62 RMR,,Unknown,Academic lab,2,-2.03111155,Adherent,RPMI 1640 + 10% FBS + 1% P/S,85.5,,skin,,Skin Cancer,Melanoma,,,,Drug resistance: Dabrafenib and Trametinib,skin,melanoma,,
ACH-002005,SKMEL19,SKMEL19_SKIN,SK-MEL-19,,Male,Academic lab,2,-3.155158389,Adherent,RPMI 1640 + 10% FBS + 1% P/S,50,CVCL_6025,skin,,Skin Cancer,Melanoma,50,,,,skin,melanoma,,
ACH-002040,HMVII,HMVII_SKIN,,,Female,RIKEN,,,,,,CVCL_1282,skin,Primary,Skin Cancer,Melanoma,65,SIDM00291,,,skin,melanoma,,
ACH-002096,CP50MELB,CP50MELB_SKIN,,753545,Unknown,Sanger,,,,,,CVCL_1143,skin,,Skin Cancer,Melanoma,,SIDM00175,1248,,skin,melanoma,,
ACH-002097,CP66MEL,CP66MEL_SKIN,,753546,Unknown,Sanger,,,,,,CVCL_1144,skin,,Skin Cancer,Melanoma,,SIDM00190,1845,,skin,melanoma,,
ACH-002098,CP67MEL,CP67MEL_SKIN,,949092,Unknown,Sanger,,,,,,CVCL_1145,skin,,Skin Cancer,Melanoma,,SIDM00189,640,,skin,melanoma,,
