Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
29	NCT04656535	AB154 Combined With AB122 for Recurrent Glioblastoma		Recruiting	No Results Available	Glioblastoma	Drug: AB122|Drug: AB154|Drug: Placebo	Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability] associated with the combination AB122 and AB154 in patients with recurrent glioblastoma|Single cell RNA sequencing of tumor and blood after exposure to AB154 with and without AB122|Tregs and CD8 T cells ratio by immunofluorescence	"Yale University|Arcus Biosciences, Inc."	All	"18 Years and older   (Adult, Older Adult)"	Early Phase 1	46	Other|Industry	Interventional	"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment"	2000028799	21-Apr-21	Dec-22	Jul-23	7-Dec-20		16-Jul-21	"Yale University, New Haven, Connecticut, United States"		https://ClinicalTrials.gov/show/NCT04656535
30	NCT01499251	Clinical Study on the Safety and Tolerability of Macitentan in Combination With Dose-dense Temozolomide in Patients With Recurrent Glioblastoma		Terminated	No Results Available	Glioblastoma	Drug: Phase 1 Dose Escalation|Drug: Phase 1b|Drug: Ancillary Study	To determine the maximum tolerated dose of macitentan in combination with dose-dense temozolomide|Number of patients with treatment-emergent adverse events (AEs) and serious AEs|Number of patients with AEs leading to premature discontinuation of study treatment|Incidence of treatment-emergent* marked laboratory abnormalities|Number of patients with treatment-emergent ECG abnormalities|Change from baseline in vital signs|Occurrence of at least grade 2 ALT and/or AST elevation	Actelion	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	75	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	AC-055-115	Jan-12	Jan-16	Apr-16	26-Dec-11		5-May-16	"MD Anderson Cancer Center, Houston, Texas, United States"		https://ClinicalTrials.gov/show/NCT01499251
31	NCT05015543	Physical Training in Glioblastoma Patients During Cytotoxic Therapy	MMH	Recruiting	No Results Available	Glioblastoma	Other: Personal Training Program	Increase in Physical Performance according to Physical Work Capacity (PWC) Test|Physical Work Capacity (PWC)|PWC|Spiroergometry - maximal oxygen consumption (VO2max)|Spiroergometry - lactate|EORTC-QLQ-C30 Brain module|Distress Thermometer (DT)|Hospital Anxiety and Depression Scale (HADS)	University Hospital Muenster	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	43	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	MMH_01	23-Jul-20	31-Dec-23	28-Feb-24	20-Aug-21		20-Aug-21	"Universitätsklinikum Münster, Münster, Nordrhein-Westfalen, Germany"		https://ClinicalTrials.gov/show/NCT05015543
32	NCT02770378	A Proof-of-concept Clinical Trial Assessing the Safety of the Coordinated Undermining of Survival Paths by 9 Repurposed Drugs Combined With Metronomic Temozolomide (CUSP9v3 Treatment Protocol) for Recurrent Glioblastoma		Completed	No Results Available	Glioblastoma	Drug: Temozolomide|Drug: Aprepitant|Drug: Minocycline|Drug: Disulfiram|Drug: Celecoxib|Drug: Sertraline|Drug: Captopril|Drug: Itraconazole|Drug: Ritonavir|Drug: Auranofin	"Endpoint for phase Ib is the number of patients experiencing dose-limiting toxicity defined as:|Endpoint for phase IIa of the trial is objective stable disease or a better tumor response (i.e., partial response, complete response)|Overall survival according to Kaplan-Meier estimates|Progression-free survival according to Kaplan-Meier estimates|Best tumor response according to the Revised Assessment in Neuro-Oncology (RANO) criteria"	"University of Ulm|Reliable Cancer Therapies|Anticancer Fund, Belgium"	All	"18 Years and older   (Adult, Older Adult)"	Phase 1|Phase 2	10	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	CUSP9v3	Nov-16	Oct-18	Dec-20	12-May-16		5-Oct-21	"University of Ulm School of Medicine, Ulm, Baden-Württemberg, Germany"		https://ClinicalTrials.gov/show/NCT02770378
33	NCT05131711	Combination of Stereotactic Radiosurgery and Enhanced Immunotherapy for Recurrent Glioblastomas(inSituVac2)(CSREIG)	CSREIG	Recruiting	No Results Available	Recurrent Glioblastoma	Combination Product: Combined stereotactic radiosurgery and enhanced immunotherapy	Incidence of Treatment-related Adverse Events|Progression-free Survival|overall survival	Beijing Tiantan Hospital	All	"18 Years to 65 Years   (Adult, Older Adult)"	Phase 1|Phase 2	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	B0012	16-Nov-21	16-Nov-22	16-Nov-23	23-Nov-21		23-Nov-21	"Beijing Tiantan Hospital, Beijing, Beijing, China"		https://ClinicalTrials.gov/show/NCT05131711
34	NCT04952571	Combined Treatment of Camrelizumab and Bevacizumab for Adult Patients With Recurrent Glioblastoma (GBM)		Recruiting	No Results Available	Recurrent Glioblastoma	Drug: Camrelizumab and Bevacizumab	Progression-free survival rate at 6 months|OS(overall survival)|PFS(progression free survival)|ORR(objective response rate)|DCR（Disease Control Rate）|The correlation between KPS change and efficacy|Median duration of KPS ≥ 70|Frequency and severity of treatment-related adverse events|Median duration of stable/improved quality of life assessed by EORTC QLQ-C30|Median duration of stable/improved quality of life assessed by EORTC QLQ-BN20	Beijing Sanbo Brain Hospital	All	"18 Years to 70 Years   (Adult, Older Adult)"	Phase 2	94	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	OBU-BJ-GBM-II-007	1-May-21	31-Dec-23	31-Dec-24	7-Jul-21		7-Jul-21	"Beijing Sanbo Brain Hospital, Beijing, China"		https://ClinicalTrials.gov/show/NCT04952571
35	NCT02685605	Intraoperative Radiotherapy in Newly Diagnosed Glioblastoma Multiforme	INTRAGO-II	Recruiting	No Results Available	Glioblastoma	Procedure: Standard surgery|Radiation: Intraoperative radiotherapy|Radiation: Radiochemotherapy|Drug: Temozolomide	"Median Progression-Free Survival|Median Overall Survival|PFS within a 1-2 cm margin around the cavity|OS with respect to Age|PFS with respect to Age|OS with respect to KPS|PFS with respect to KPS|OS with respect to thickness of anticipated T1-Gd-enhancing (remaining) tumor margin|PFS with respect to thickness of anticipated T1-Gd-enhancing (remaining) tumor margin|OS with respect to extent of resection|PFS with respect to extent of resection|OS with respect to MGMT promoter methylation status|PFS with respect to MGMT promoter methylation status|Quality of Life (QoL) questionnaire|Activities of daily living (ADL), assessed using the Barthel Index (Mahoney & Barthel, 1965).|Radiation-related (acute / early delayed / late) neurotoxicity"	"Universitätsmedizin Mannheim|Carl Zeiss Meditec AG|University of California, Los Angeles"	All	"18 Years to 80 Years   (Adult, Older Adult)"	Phase 3	314	Other|Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	INTRAGO-II|ARO-2016-1|AG-NRO-03	9-Dec-16	Dec-23	Mar-24	19-Feb-16		30-Apr-21	"Barrow Neurological Institute (SJHMC), Phoenix, Arizona, United States|Stritch School of Medicine Loyola University, Maywood, Illinois, United States|Long Island Jewish Medical Center, North Shore University Hospital, Lake Success, New York, United States|Lenox Hill Hospital, Hofstra Northwell School of Medicine, New York, New York, United States|West Virginia University, Morgantown, West Virginia, United States|Hospital Alemão Oswaldo Cruz, São Paulo, Brazil|Montreal Neurological Institute and Hospital, Montréal, Quebec, Canada|Klinikum Augsburg, Augsburg, Germany|Charité - Universitätsmedizin, Berlin, Germany|St. Georg, Leipzig, Germany|University Hospital Mannheim, Mannheim, Germany|Technical University of Munich (TUM), Department of Radiation Oncology, Munich, Germany|Klinikum Stuttgart, Stuttgart, Germany|Helios University Hospital Wuppertal, Wuppertal, Germany|Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Korea, Republic of|Clinica Delgado-AUNA, Lima, Peru|Catalan Institute of Oncology (ICO), Barcelona, Spain|Hospital Reina Sofia, Córdoba, Spain|The London Clinic, London, United Kingdom"		https://ClinicalTrials.gov/show/NCT02685605
36	NCT02067156	"Efficacy, Safety and CNS Exposure of G-202 (Mipsagargin) in Patients With Recurrent or Progressive Glioblastoma"		Completed	No Results Available	Glioblastoma Multiforme	Drug: G-202	"6-month progression-free survival|Safety|Objective tumor response rate, best overall response|Duration of PFS|Overall survival|G-202 pharmacokinetics and pharmacodynamics"	"GenSpera, Inc."	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	26	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	G-202-004|R01FD005077	Feb-14	Dec-16	Feb-17	20-Feb-14		24-Feb-17	"University of California, San Diego Moores Cancer Center, La Jolla, California, United States"		https://ClinicalTrials.gov/show/NCT02067156
37	NCT04752280	Glioblastoma Radiotherapy Using IMRT or Proton Beams	GRIPS	Recruiting	No Results Available	Glioblastoma	Radiation: Proton irradiation|Radiation: Photon irradiation	Cumulative rate of toxicity|Progression free survival|Overall survival|Acute Toxicity|Late Toxicity|Quality of life according to EORTC QLQ-C30|Quality of life according to EORTC QLQ-BN20|Neurocognition|Measuring number of Lymphocytes count	University Hospital Heidelberg	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	326	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	GRIPS	19-Apr-21	19-Aug-25	19-Oct-27	12-Feb-21		20-Apr-21	"Universitätsklinikum Heidelberg, Heidelberg, Germany|Universitätsklinikum Gießen und Marburg, Marburg, Germany|Klinikum Stuttgart, Stuttgart, Germany"		https://ClinicalTrials.gov/show/NCT04752280
38	NCT04391062	Dose Finding for Intraoperative Photodynamic Therapy of Glioblastoma	DOSINDYGO	Recruiting	No Results Available	Glioblastoma	Drug: Gliolan|Device: Intraoperative PDT	"Maximum Tolerated Dose-Light Level (MTDL) defined as the light dose associated with an acceptable dose-limiting toxicity level (TDL)|Progression Free Survival (PFS)|Global Progression Free Survival (PFS)|Overall Survival (OS)|Response to treatment|Incidence of ""intraoperative PDT"" treatment-emergent Adverse Events|Quality of Life Questionnaire -C30 ( QLQ-C30|Quality of Life Questionnaire - Brain Cancer Module (QLQ-BN20)"	"University Hospital, Lille|Institut National de la Santé Et de la Recherche Médicale, France|Hemerion Therapeutics"	All	"18 Years and older   (Adult, Older Adult)"	Phase 2	21	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2018_58|2019-004796-40|2019-A03157-50	28-Sep-21	Sep-24	Sep-24	18-May-20		5-Oct-21	"Hôpital Erasme, Clinique Universitaire de Bruxelles, Brussels, Belgium|Hopital Roger Salengro, CHU Lille, Lille, France"		https://ClinicalTrials.gov/show/NCT04391062
39	NCT02060890	Molecular Profiling in Guiding Individualized Treatment Plan in Adults With Recurrent/Progressive Glioblastoma	TGEN	Completed	Has Results	Adult Glioblastoma	Other: specialized tumor board recommendation	Number of Participants Who Received Treatment Recommendations Within 35 Days of Surgery|Number of Patients Who Chose to Pursue Treatment	"University of California, San Francisco|Translational Genomics Research Institute|The Ben & Catherine Ivy Foundation"	All	"18 Years and older   (Adult, Older Adult)"		20	Other	Observational	Observational Model: Other|Time Perspective: Prospective	CC14101|NCI-2017-00467	Aug-14	3-Sep-15	10-May-17	12-Feb-14	6-Dec-17	28-Jul-20	"University of California, San Francisco, San Francisco, California, United States"		https://ClinicalTrials.gov/show/NCT02060890
40	NCT03714334	DNX-2440 Oncolytic Adenovirus for Recurrent Glioblastoma		Recruiting	No Results Available	"Glioblastoma|Glioblastoma, Adult"	Drug: DNX-2440 injection	Incidence of Treatment-Emergent Adverse Events after brain administration of DNX-2440.|Overall Survival at 12 months (OS12)|Overall survival|Overall response rate (ORR)	"Clinica Universidad de Navarra, Universidad de Navarra|DNAtrix, Inc."	All	"18 Years and older   (Adult, Older Adult)"	Phase 1	24	Other|Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	D2440GBM1	16-Oct-18	16-Apr-22	16-Oct-22	22-Oct-18		25-Jun-20	"Clinica Universidad de Navarra, Pamplona, Navarra, Spain"		https://ClinicalTrials.gov/show/NCT03714334
41	NCT04536649	Proton and Heavy Ion Beam Radiation vs. Photon Beam Radiation for Newly Diagnosed Glioblastoma.		Not yet recruiting	No Results Available	Glioblastoma	Radiation: Radiotherapy	Overall Survival|Progression-free Survival|Toxicities|Recognitive Function|Life Quality	Shanghai Proton and Heavy Ion Center|RenJi Hospital|Ruijin Hospital|Fudan University	All	"18 Years to 80 Years   (Adult, Older Adult)"	Phase 3	369	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	SPHIC-TR-HNCNS-2020-45	1-Oct-20	30-Sep-23	30-Sep-25	2-Sep-20		2-Sep-20	"Shanghai Proton and Heavy Ion Center, Shanghai, Shanghai, China"		https://ClinicalTrials.gov/show/NCT04536649
42	NCT04772846	Chloroquine for Glioblastoma.		"Active, not recruiting"	No Results Available	Glioblastoma	Drug: Oral tablet|Drug: Placebo	"Survival duration after surgery|End-point evaluation, survival at three years"	Egyptian Medical Syndicate	All	"18 Years to 70 Years   (Adult, Older Adult)"	Phase 1|Phase 2	60	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment	CQGBM	1-Mar-18	1-Dec-20	Mar-21	26-Feb-21		26-Feb-21	"Private clinics, Cairo, Egypt"		https://ClinicalTrials.gov/show/NCT04772846
43	NCT04588454	18F-PSMA PET/CT for Visualization of Glioblastoma Multiforme	PSMA-GBM	"Active, not recruiting"	No Results Available	Glioblastoma Multiforme	Other: 18F-PSMA-1007 PET tracer	The uptake of 18F-PSMA PET/CT in suspected GBM lesions|The correlation between PSMA protein and RNA expression with 18F-PSMA PET/CT uptake|Correlation between 18F-PSMA PET/CT and T1Gd MRI	Radboud University	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	5	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	NL64616.091.18	17-Jan-20	31-Oct-20	1-Jun-21	19-Oct-20		27-Jan-21	"Radboud University Medical Center, Nijmegen, Gelderland, Netherlands"		https://ClinicalTrials.gov/show/NCT04588454
44	NCT04959500	Newly Diagnosed Glioblastoma		Recruiting	No Results Available	Glioblastoma	Drug: Anlotinib Hydrochloride|Drug: Placebo|Radiation: Radiation Therapy|Drug: Temozolomide	Progression Free Survival (PFS) assessed by IRC|The progression free survival (PFS)|Overall survival (OS)	Sun Yat-sen University	All	"18 Years to 75 Years   (Adult, Older Adult)"	Phase 2	150	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment"	ALTN-Ⅱ-01	10-Jun-21	31-Oct-23	31-Oct-23	13-Jul-21		13-Jul-21	"The First Affiliated Hospital of Bengbu Medical College, Bengbu, Anhui, China|Beijing TianTan Hospital,Capital Medical University, Beijing, Beijing Province, China|The Sixth Madical Center of PLA General Hospital, Beijing, Beijing, China|The General Hospital of the People's Liberation Army (PLAGH), Beijing, Beijing, China|Chongqing University Cancer Hospital, Chongqing, Chongqing Province, China|Fujian Provincial Cancer Hospital, Fuzhou, Fujian, China|Lanzhou University Second Hospital, Lanzhou, Gansu, China|The First Hospital of Lanzhou University, Lanzhou, Gansu, China|Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China|Shenzhen People's Hospital, Shenzhen, Guangdong, China|The Fifth Affiliated Hospital Sun Yat-sen University, Zhuhai, Guangdong, China|The affiliated hospital of xuzhou medical university, Xuzhou, Jiangsu, China|The First Affiliated Hospital of NanChang University, Nanchang, Jiangxi, China|Jiangxi Cancer Hospital, Nanchang, Jiangxi, China|Gansu Provincial Hospital, Gansu, Lanzhou Province, China|Liaoning Cancer Hospital & Institute, Shenyang, Liaoning, China|Fudan University shabghai cancer center, Shanghai, Shanghai, China|The Second Affiliated Hospital of PLA Air Force Medical University, Xian, Shanxi, China|West China Hospital，Sichuan University, Chengdu, Sichuan, China|Tianjin Medical University General Hospital, Tianjin, Tianjin, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04959500
